
NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12;
1431;2021-06-08;17000000;2;11;26;36;47;7;9;17661854;0;3;3;29;521;1302;1101;20252;24558;48064;113013;367540;0;0;0;6;93;326;216;4646;5294;9896;26711;79038;0,00;169023,90;39503,60;1272,80;130,50;55,20;45,80;12,40;11,40;10,90;5,60;5,40;
1430;2021-06-04;130000000;7;20;36;40;46;2;4;44155425;1;3;15;69;1181;2623;2458;41510;54563;118452;232145;843437;0;1;3;10;278;655;560;10247;13146;28419;58215;206525;130000000,00;422567,40;19752,10;1337,40;143,90;68,50;51,30;15,20;12,90;11,00;6,80;5,90;
1429;2021-06-01;88000000;3;10;26;35;44;6;7;21946937;0;4;14;26;772;1508;1527;22450;33487;66919;124879;479419;0;1;1;8;169;280;292;4841;7189;13518;26700;105266;0,00;157524,10;10518,80;1764,10;109,40;59,20;41,10;13,90;10,40;9,70;6,30;5,10;
1428;2021-05-28;78000000;11;13;16;34;40;1;12;27667330;0;4;8;23;667;1460;1812;21591;31367;89013;119317;476856;0;1;1;4;124;245;333;4202;5806;16709;23138;91443;0,00;198582,20;23205,90;2514,10;159,60;77,10;43,60;18,30;14,00;9,20;8,30;6,50;
1427;2021-05-25;65000000;1;21;26;30;38;2;8;19825846;0;0;3;28;550;1669;1136;25385;27184;57873;139240;403152;0;0;1;6;99;334;240;4983;5303;11340;28045;78644;0,00;0,00;234077,10;1479,80;138,70;48,30;49,90;11,10;11,60;10,10;5,10;5,50;
1426;2021-05-21;55000000;2;9;13;15;35;3;10;26016711;0;5;5;43;842;1830;2005;25929;39484;94556;133141;561023;0;2;2;8;195;407;475;5942;8743;21621;29721;122079;0,00;149387,90;34914,40;1264,50;118,90;57,80;37,10;14,30;10,50;8,10;7,00;5,20;
1425;2021-05-18;41000000;5;13;38;39;40;4;12;18879770;0;1;2;18;460;900;1138;14120;21583;55601;75896;330144;0;0;0;0;81;165;209;2550;3947;10559;13977;63578;0,00;542038,10;63341,60;2192,10;158,00;85,30;47,40;19,10;13,90;10,00;8,90;6,40;
1424;2021-05-14;30000000;6;16;18;29;38;6;11;24074936;0;1;5;19;498;998;1005;15462;22890;46031;88416;338989;0;2;2;7;158;362;356;4979;7506;17118;23611;101842;0,00;172797,80;23077,50;1572,30;115,80;56,50;37,60;14,00;10,80;8,80;7,40;5,50;
1423;2021-05-11;17000000;14;25;34;43;46;5;6;17692637;0;1;5;19;498;998;1005;15462;22890;46031;88416;338989;0;0;2;4;110;187;183;2719;4401;8617;15789;65159;0,00;507955,60;23743,50;1946,10;136,70;72,10;50,30;16,30;12,30;11,40;7,10;5,90;
1422;2021-05-07;69000000;14;22;33;38;47;8;9;27712084;1;4;8;39;1031;1687;2125;23019;41841;85768;126706;567932;0;1;3;7;204;345;403;4397;8258;17713;24115;110303;69463976,00;198903,40;23243,50;1485,00;103,40;66,80;37,20;17,20;10,50;9,50;7,80;5,50;
1421;2021-05-04;53000000;3;10;13;28;46;4;11;19659350;0;3;12;32;670;1366;1802;18248;29362;76213;91973;404486;0;0;4;7;149;265;411;3426;6266;17079;17026;83782;0,00;188139,90;10992,80;1284,00;112,90;58,50;31,20;15,40;10,60;7,60;7,60;5,50;
1420;2021-04-30;42000000;1;16;24;28;46;2;11;29413483;0;3;10;55;794;1872;1936;26918;38059;90986;143162;556634;0;0;0;7;130;323;381;4787;6844;17500;25669;100966;0,00;281487,00;19736,40;1117,70;142,60;63,90;43,40;15,60;12,30;9,60;7,30;5,90;
1419;2021-04-27;26000000;13;14;24;35;49;1;10;18604128;0;2;1;21;490;977;1182;14222;22290;58745;75911;330528;0;0;0;5;92;201;199;2839;4266;11211;14952;66263;0,00;267062,20;124833,70;1851,50;146,10;77,50;45,00;18,70;13,30;9,40;8,80;6,30;
1418;2021-04-23;17000000;3;14;15;19;29;2;8;23764534;0;5;9;68;979;2697;2186;37526;41712;93109;181368;555053;0;1;1;13;193;602;476;8394;9340;20638;39724;122045;0,00;136455,90;17717,70;730,40;93,40;35,80;31,00;9,00;9,00;7,50;4,70;4,80;
